,hash,ids,type
0,6e5870179dbea82b4972d53c7979567cbdcc776c854f38e91338ccd2f47d5cac,"_transfer(address _from, address _to, uint _value) internal ",type-2c
1,6f9918d864f596e8a45a422cda386cf18bc4f009587df9a04122a1c5ba32ca78,uint2str(uint i) internal returns (string),type-2c
2,9d085f84df8c544ada09f0dee951f7d7515bf74dc507d2e2e53b23c6819f96ab,"setPhase(
        uint8 _phaseId,
        uint256 _since,
        uint256 _till,
        uint256 _price,
        uint256 _softCap,
        uint256 _hardCap
    ) public onlyOwner returns (bool) ",type-2c
3,ebb86f6d58b5c8ef8768c5b2bc52c86a5ff319ee4193ac9cfaf4cbad014c2d99,refund() public returns (bool) ,type-2c
4,1f8d01362ee510ff54484d1383ee6bc11886cfe67f84ca0df804a02a79660bc6,"getICOBonusAmount(uint256 _amount, uint256 _time) internal returns (uint256) ",type-2c
5,788b990a306387083405606d38c05d438fcc71e36c6754ae55667cee9c518f7b,"mdbToken()
    ",type-2c
6,f79eb8446cf2c2ba58f993442df4fb57ce49877fa72ee4c8368cbb974b06e5fc,claimTokens(address _token) public onlyEscapeHatchCaller ,type-2c
7,5f00e1735fd3a0528cc8010ec11076e8df00f1451c2b1e46b964955b13f23edc,"transferFrom(address _from, address _to, uint256 _value) public returns (bool) ",type-2c
8,9a33981e03a53aa9c85fd255e8a29520c8f66618de51389ddeb33c505ac561d6,"decreaseApproval(address _spender, uint _subtractedValue) public returns (bool) ",type-2c
9,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-2c
10,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-2c
11,2f862d9572a54c08d46a6d1f8cabe43c9c87db0a5e93ffc4b309ef5ec3f8d3d4,"transferFrom(
    address _from,
    address _to,
    uint256 _value
  )
    public
    returns (bool)
  ",type-2c
12,01d70814224683483e6666b3be601d658daefec995490f2a1cab53c67c1c5fdf,"decreaseApproval(
    address _spender,
    uint _subtractedValue
  )
    public
    returns (bool)
  ",type-2c
13,6e5870179dbea82b4972d53c7979567cbdcc776c854f38e91338ccd2f47d5cac,"_transfer(address _from, address _to, uint _value) internal ",type-2c
14,52fb018dcc4e959cb4ac63f9fb0cfe03ac4a34e764177ef3087108e677802347,"authorize (address addr, uint cap) public onlyOwner ",type-2c
15,efab7121bf4037322f567eda76cc4a7eec749880a5e59dbe03507abef3710e61,revoke (address addr) public onlyOwner ,type-2c
16,b868070d128f315a7bca157fd85915dd3c4b48409745328cf6672286fcdbcc70,"modifyIndividualCap (address addr, uint cap) public onlyOwner ",type-2c
17,d2d05479e7e4d7c51ea436c7f083742b8abeedb0581f658cc1f19cca00b05dd2,"enableTokenWithdrawals (address tokenAddr, bool notDefault) public onlyOwner noReentrancy ",type-2c
18,9b1aefe840b9d13acd268e4fffe2fd236081b6699456704645f1850c5cf12ebb,"transfer(address _to, uint256 _value) returns (bool success) ",type-2c
19,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-2c
20,9f7ebcd0421a141540bd8f6563100ba2e7cdee6bb2da3e33c6df9d6461f6cbc6,"removeOwner(address owner)
        public
        onlyWallet
        ownerExists(owner)
    ",type-2c
21,8691a7808de47d4fddf0921f20b9a8559c71d609fc84623f667e570161f26dc8,"executeTransaction(uint transactionId)
        public
        notExecuted(transactionId)
    ",type-2c
22,dbfe451b4c67136e62e5b962d819e4013e85c69ce5c0c242b8d0324e5312badc,"getConfirmations(uint transactionId)
        public
        constant
        returns (address[] _confirmations)
    ",type-2c
23,e0a12a13c250e30583d71767863ae9c2b004e0da99ef008b4873105c8dd8e8ce,"getTransactionIds(uint from, uint to, bool pending, bool executed)
        public
        constant
        returns (uint[] _transactionIds)
    ",type-2c
24,6d85afd5d97a911cd7e71d7cfdcb7c20fd7a4ab62a47c5ae9b63124d16b744d2,"recover(bytes32 hash, bytes sig) public pure returns (address) ",type-2c
25,96ce7e3b0266fadb6efe602ae1593f5c218c3298068bbce77662468231094498,calculateNextPrice (uint256 _price) public view returns (uint256 _nextPrice) ,type-2c
26,9f70a5e28d5250e8d2e0a100cc00a3a924a76216b2b5578bde1087226798be69,calculateDevCut (uint256 _price) public view returns (uint256 _devCut) ,type-2c
27,d43a3baafc48122b92d39dca9d20cd18df836f4ab9b5d858c18ece5f066ed2ab,tokensOf (address _owner) public view returns (uint256[] _tokenIds) ,type-2c
28,e53bb8bf02de4c850bc9ea5c971a0f0b3db226c0b1b90af98e6b976555e61cf6,vestedAmount(ERC20Basic token) public view returns (uint256) ,type-2c
29,6e5870179dbea82b4972d53c7979567cbdcc776c854f38e91338ccd2f47d5cac,"_transfer(address _from, address _to, uint _value) internal ",type-2c
30,6e5870179dbea82b4972d53c7979567cbdcc776c854f38e91338ccd2f47d5cac,"_transfer(address _from, address _to, uint _value) internal ",type-2c
31,9aa9d86013006483eb9ca52d48d378e1783e8322788e64813caa73a94a81126b,"transferFrom(address _from, address _to, uint256 _value) returns(bool success) ",type-2c
32,27e2d3b3cb3f4df37736d5cc74df3b5d7aa79627a5ddac8b2b1fa04bdf937fa9,airdrop(address[] addresses) onlyOwner canDistr public ,type-2c
33,1b7897e1086ba366a40c0af920e59c788598c6e4e1ea91745ff99774a43b82f6,"distributeAmounts(address[] addresses, uint256[] amounts) onlyOwner canDistr public ",type-2c
34,0871c4de4c02fcd2eff9e498771f93280c6fc75f86c145f543573c3fc0588e71,"sell(uint256 _amountOfTokens)
        onlyBagholders()
        public
    ",type-2c
