,hash,ids,type
0,31859da63c65f93e695f95ce4fcc7277784223b3136287e690b4a5293ff30c23,Contest() payable,type-3-2
1,5f00e1735fd3a0528cc8010ec11076e8df00f1451c2b1e46b964955b13f23edc,"transferFrom(address _from, address _to, uint256 _value) public returns (bool) ",type-3-2
2,b8d49ba7ea67fd2ee80d08bb9dfea3d039135ae0733fe325143419e9572cb654,"initialize(address _wallet, uint256 _start, uint256 _end,
                        uint256 _saleCap, uint256 _totalSupply)
                        public onlyOwner uninitialized ",type-3-2
3,7b020c8fc4a51d344ad407c4e77e230df34b83266487e9e07fb00e1427dd9001,"setParams(
        WhiteListInterface    _whiteList,
        ExpectedRateInterface _expectedRate,
        FeeBurnerInterface    _feeBurner,
        uint                  _maxGasPrice,
        uint                  _negligibleRateDiff
    )
        public
        onlyAdmin
    ",type-3-2
4,b394dbd00761f01540fcc0181c882b6dc946c40c551ff54a0d94560f9076eead,"ERC20(
        uint256 _initialSupply,
        string _tokenName,
        uint8 _decimalUnits,
        string _tokenSymbol,
        bool _transferAllSupplyToOwner,
        bool _locked
    ) ",type-3-2
5,b9f987b3dd09377000e287ecbd101337763e4c2c9165ee0f9efd6029998553f4,"transferFrom(address _from, address _to, uint256 _value) public returns (bool success) ",type-3-2
6,530c7e79ff13a2dbc76446df3cad908af616cc4b8af736acf42db08ae740cfee,"transferInternal(address _from, address _to, uint256 _value) internal returns (bool success) ",type-3-2
7,000c23d509fd887f13aa65dfdce706d1ecf7f30bc87b48005a58ab88dfed79b4,isSucceed(uint8 phaseId) public returns (bool) ,type-3-2
8,9a33981e03a53aa9c85fd255e8a29520c8f66618de51389ddeb33c505ac561d6,"decreaseApproval(address _spender, uint _subtractedValue) public returns (bool) ",type-3-2
9,d47468811d037bff5cc0910d6419b66d5464b19bf5ff92f54523c221e28055b9,"tokensOfOwner(address _owner)
        external constant returns(uint256[]) ",type-3-2
10,9b1aefe840b9d13acd268e4fffe2fd236081b6699456704645f1850c5cf12ebb,"transfer(address _to, uint256 _value) returns (bool success) ",type-3-2
11,396485a0bb9f88a99ce8314294584919d0c1c1718928dfac2b89e653f73aa65b,"_withdraw (address receiver, address tokenAddr) internal ",type-3-2
12,dd82ae7b06df4dc68b0f3e2c6fa853f08ea415d9134a1081d9054a28d4c46f9a,submitPool (uint amountInWei) public onlyOwner noReentrancy ,type-3-2
13,9f7ebcd0421a141540bd8f6563100ba2e7cdee6bb2da3e33c6df9d6461f6cbc6,"removeOwner(address owner)
        public
        onlyWallet
        ownerExists(owner)
    ",type-3-2
14,f60968e39e61f0c643e3d9c0333392cb41a3f086468e3bd81f7e2f010a9e77a1,() payable ,type-3-2
