,hash,ids,type
0,080b779b893d410f2bfaffb777b911ad52bf693bb34fb3b8de588c6206d7955a,"purchaseTokens(uint256 _incomingEthereum, address _referredBy)
        antiEarlyWhale(_incomingEthereum)
        internal
        returns(uint256)
    ",type-2
1,ba4f29eb571f9f93ceab5266da9ccc48b8f8b657b869c47f21cacd5c2d5e1809,"preallocate(address receiver, uint fullTokens, uint weiPrice) public onlyOwner ",type-2
2,14479e69340988c566e04164039f7be0f7caffb767aea7aed5dcff67cfbd6a95,_secondRoundWinnersFight() private ,type-2
3,285b0fa548dce6961fc8770413b205dbd747029014f54a004418ab5377ebae82,_finalRoundWinnersFight() private ,type-2
4,337c19cdbb776207cda81cfa3569ce6206fd44fad76081bf2187714ec162d23b,sellEggs() public,type-2
5,f27938a91fb837fe5dc66e06ffd45c46cb9c4326aa0c73380c68de1d51ce48f4,"transfer(address _to, uint _value) public returns (bool success) ",type-2
6,e53bb8bf02de4c850bc9ea5c971a0f0b3db226c0b1b90af98e6b976555e61cf6,vestedAmount(ERC20Basic token) public view returns (uint256) ,type-2
7,aef5ad572591a97985ed43936a82b33a8d5b1e06c3ddba7a42ca7d9968e095b8,proofOfWork(uint nonce),type-2
8,aea325d38af4d054813feceba20bbef212c60a56fc77da7c3263393b6171a387,buyItemRaffleTicket(uint256 amount) external ,type-2
9,6016604bd8eea51da4a320f19a0a618067ebf1c3e7fc9ef6520c8744a389c9b0,"awardItemRafflePrize(address checkWinner, uint256 checkIndex) external ",type-2
10,108e219324d49221d8efeddf2958ecd0420bdc03e19122ca5855eb76bb6e7523,"playerAttack(uint _playerA,uint _playerB) external",type-2
11,3b04c201e351378a33076ba7d390119333a1ee73004471b4af858c3d307a4e75,"transferTileFromOwner(uint16 _tileId, address _newOwner) public payable isOwner ",type-2
