,hash,ids,type
0,31859da63c65f93e695f95ce4fcc7277784223b3136287e690b4a5293ff30c23,Contest() payable,type-3-1
1,5f00e1735fd3a0528cc8010ec11076e8df00f1451c2b1e46b964955b13f23edc,"transferFrom(address _from, address _to, uint256 _value) public returns (bool) ",type-3-1
2,b8d49ba7ea67fd2ee80d08bb9dfea3d039135ae0733fe325143419e9572cb654,"initialize(address _wallet, uint256 _start, uint256 _end,
                        uint256 _saleCap, uint256 _totalSupply)
                        public onlyOwner uninitialized ",type-3-1
3,9e0f50f0b9ccde0abad499849bb71b6e63a2078e4a80591c19877d87a179162c,getRateAt(uint256 at) public constant returns (uint256) ,type-3-1
4,c07034a808a8c0615fba45dbdd8799696302e62d6ced5b1fda3f5d64f89bff17,"buyTokens(address sender, uint256 value) internal ",type-3-1
5,06048b7cc3e9e28954a9ab40786a960aa8adb06d2be33e7ce0eff881895be5bb,"getBalances(address reserve, ERC20[] tokens) public view returns(uint[]) ",type-3-1
6,bc475131e593d20ac531d7f040e66d884206a6869b71c6507b21ecb07fb3f235,"getTokenRates(ConversionRates ratesContract, ERC20[] tokenList)
        public view
        returns(uint[], uint[], int8[], int8[], uint[])
    ",type-3-1
7,38f02fb63268a85a4558fe07d7a61f95594527efa6a3ffed04a29f50b1d3da0d,"getTokenIndicies(ConversionRates ratesContract, ERC20[] tokenList) public view returns(uint[], uint[]) ",type-3-1
8,a299f7b04e434395f2e93d2718b23b4e41dfc6a2bf1f03e0ddde91033f484e85,"getReserveRate(KyberReserve reserve, ERC20[] srcs, ERC20[] dests)
        public view returns(uint[], uint[])
    ",type-3-1
9,6e5870179dbea82b4972d53c7979567cbdcc776c854f38e91338ccd2f47d5cac,"_transfer(address _from, address _to, uint _value) internal ",type-3-1
10,ab16f373bbce2749e6c810fbdf0cb37449817e83e1abea4f222da67f8fa73bb3,"transferFromOrigin(address _to, uint256 _value)  returns (bool success) ",type-3-1
