,hash,ids,type
0,3216adc80d1ffc78d278c28d1ae257873deb9fc65b730203dc662a4d3903e619,"getExpectedRates( KyberNetwork network, ERC20[] srcs, ERC20[] dests, uint[] qty )
        public view returns(uint[], uint[])
    ",type-3-2c
1,05728c3d5bc4e608a03c39ee732329b128f4746f1acd04c6bbca1729364da8bb,"getTokensAmount(uint256 _value, uint8 _currentPhase) internal returns (uint256) ",type-3-2c
2,f79eb8446cf2c2ba58f993442df4fb57ce49877fa72ee4c8368cbb974b06e5fc,claimTokens(address _token) public onlyEscapeHatchCaller ,type-3-2c
3,5f00e1735fd3a0528cc8010ec11076e8df00f1451c2b1e46b964955b13f23edc,"transferFrom(address _from, address _to, uint256 _value) public returns (bool) ",type-3-2c
4,9a33981e03a53aa9c85fd255e8a29520c8f66618de51389ddeb33c505ac561d6,"decreaseApproval(address _spender, uint _subtractedValue) public returns (bool) ",type-3-2c
5,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-3-2c
6,9b1aefe840b9d13acd268e4fffe2fd236081b6699456704645f1850c5cf12ebb,"transfer(address _to, uint256 _value) returns (bool success) ",type-3-2c
7,672d222830a90e26f7b01ae269b30b51850fb71d17c8bbefaf6f22131e4dcf9c,"transferFrom(address _from, address _to, uint256 _value) returns (bool success) ",type-3-2c
8,14ea3366c731ffdc3ba3a22238b2686a9e61e021c7f7cb794d04e9455c7b2b12,"decreaseApproval (address _spender, uint _subtractedValue) public returns (bool success) ",type-3-2c
9,08f27ffa0de6982bf9082362649122ed5b544e335abbcf1629406286320972da,"transferFrom(
        address _from,
        address _to,
        uint256 _amount
    )
    public
    isTradable
    returns (bool success) ",type-3-2c
10,dbfe451b4c67136e62e5b962d819e4013e85c69ce5c0c242b8d0324e5312badc,"getConfirmations(uint transactionId)
        public
        constant
        returns (address[] _confirmations)
    ",type-3-2c
11,e0a12a13c250e30583d71767863ae9c2b004e0da99ef008b4873105c8dd8e8ce,"getTransactionIds(uint from, uint to, bool pending, bool executed)
        public
        constant
        returns (uint[] _transactionIds)
    ",type-3-2c
12,6d85afd5d97a911cd7e71d7cfdcb7c20fd7a4ab62a47c5ae9b63124d16b744d2,"recover(bytes32 hash, bytes sig) public pure returns (address) ",type-3-2c
13,9f70a5e28d5250e8d2e0a100cc00a3a924a76216b2b5578bde1087226798be69,calculateDevCut (uint256 _price) public view returns (uint256 _devCut) ,type-3-2c
14,d43a3baafc48122b92d39dca9d20cd18df836f4ab9b5d858c18ece5f066ed2ab,tokensOf (address _owner) public view returns (uint256[] _tokenIds) ,type-3-2c
15,cefc072f35b7c58e8a67d527225f9aa8f75b9ad2f90d18dd2a2b39f3784607c0,revoke(ERC20Basic token) public onlyOwner ,type-3-2c
16,ecde6b3355eaabaf67924663cfab5e9bda4d2ed388da35771721f718c44c001d,"transfer(address _to, uint _value, bytes _data) public ",type-3-2c
17,8bda7ede29c0aa37a9cba866046fb4985ad70a6519e8e8b8d1fbb8d6233ef481,"transfer(address _to, uint256 _value) public returns (bool success) ",type-3-2c
18,8a2421d5a2fdd21d98ee3d63a5aaa88eb001b1c75ed557596736bf7b289e27a7,purchase(uint256 _tokenId) public payable ,type-3-2c
19,84fd8e15c05b044cb1b20b5e3a046a69c0c3f1f0b00390966a94694bbc62bdbc,tokensOfOwner(address _owner) public view returns(uint256[] ownerTokens) ,type-3-2c
20,c3580076922b6022c296e69f1e5afd8000f1e1c34924478c30030cb02126312e,"executeTransaction(uint transactionId)
        public
        ownerExists(msg.sender)
        confirmed(transactionId, msg.sender)
        notExecuted(transactionId)
    ",type-3-2c
21,8bda7ede29c0aa37a9cba866046fb4985ad70a6519e8e8b8d1fbb8d6233ef481,"transfer(address _to, uint256 _value) public returns (bool success) ",type-3-2c
